code,product_name,brands,categories,energy-kcal_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,fat_100g,saturated-fat_100g,salt_100g,nova_group,nutriscore_grade,ingredients_text,url,last_modified_datetime
8908027899008,Mocha Madness,Proskii,,394.025,52.025,2.95,,38.275,3.625,1.2,0.4825,4,unknown,"Soy Protein Isolate, Pea Protein, Sorghum, Corn, Tapioca Starch, Erythritol, Peanut Oil, Sunflower Oil, Peanut Powder, Soy Lecithin, Salt, Steviol Glycosides, Tocopherols",https://in.openfoodfacts.org/product/8908027899008/mocha-madness-proskii,2026-07-13T05:01:21Z
8901725017552,Sunfeast Nice,Sunfeast,Biscuits,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901725017552/sunfeast-nice,2026-07-13T04:46:02Z
0735980999920,Raspberry and Strawberry Reserve,The Gourmet Jar,,280,68,65,,1.2,0.15,,,,unknown,,https://in.openfoodfacts.org/product/0735980999920/raspberry-and-strawberry-reserve-the-gourmet-jar,2026-07-13T04:23:37Z
8904132973114,Raskik mango,Raskik,Beverages,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8904132973114/raskik-mango,2026-07-13T04:19:00Z
8906069407984,Zyro,Zyro,Beverages,0,0,0,,,,,0.024,4,unknown,"CARBONATED WATER, TAURINE (0.4%), ACIDITY REGULATOR, FLAVOURING SUBSTANCES, STABILIZER (INS 466), PRESERVATIVE (INS 211), CAFFEINE, SWEETENERS (INS960, INS955), VITAMINS (B3, B6, B12) AND SYNTHETIC FOOD COLOURS",https://in.openfoodfacts.org/product/8906069407984/zyro,2026-07-13T02:36:51Z
8904063226587,Mexilla Sweet Thai Chilli,Haldiram's,Snacks,511.4,64,3.5,,7.6,25,11,1.725,,e,,https://in.openfoodfacts.org/product/8904063226587/mexilla-sweet-thai-chilli-haldiram-s,2026-07-13T02:29:29Z
8801043054768,Shin Kimchi,Nongshim,Instant noodle soups,102.697777230469,16.015625,1.15234375,,2.34375,3.1640625,1.5234375,1.0546875,4,unknown,"NOODLES: WHEAT FLOUR, STARCHES (WHEAT), VEGETABLE OIL (CONTAINS ANTIOXIDANT (307b)), S MINERAL SALTS (501, 500, 339), EMULSIFIER (322, SC SOY SAUCE (SOY, WHEAT, SALT), SWEETENER (420), COLOUR (101). SOUP BASE: SALT, MALTODEXTRIN, SUGAR, FLAVOUR ENHANCERS (621, 627, 631), HYDROLYSED VEGETABLE PROTEIN (SOY, WHEAT), YEAST EXTRACT, STARCHES (WHEAT), SOY, THICKENERS (412, 414), FOOD ACID (330), GLUCOSE, VEGETABLE OILS (SOY), COLOUR (150c), SOY SAUCE (SOY, WHEAT, SALT), EMULSIFIER (322, SOY), GARLIC. FLAKES: DRIED VEGETABLES, DRIED KIMCHI (1%, VEGETABLES, SALT). CONTAINS: WHEAT, GLUTEN, SOY. MAY CONTAIN CRUSTACEAN, MOLLUSC, EGG, FISH, PEANUT, MILK, TREE NUTS AND SESAME.",https://in.openfoodfacts.org/product/8801043054768/shin-kimchi-nongshim,2026-07-13T01:39:13Z
8901725013851,Mad Angles Pizza...aaaah,Bingo!,,531,57.3,3.7,,7.4,31.1,14.5,1.8775,,unknown,,https://in.openfoodfacts.org/product/8901725013851/mad-angles-pizza-aaaah-bingo,2026-07-12T22:43:52Z
00276161,URY SHESHA AYURVEDA RED SANCALWOOD SKUMKUKAOI NIGHT REPAIR CKEAM BRiSKTEeS REJUvENTES MADE ININOIA,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/00276161/ury-shesha-ayurveda-red-sancalwood-skumkukaoi-night-repair-ckeam-brisktees-rejuventes-made-ininoia,2026-07-12T17:46:33Z
8908015078026,Blue Eggs,Abhi Eggs,Eggs,132,0,,,13,8,,,,unknown,,https://in.openfoodfacts.org/product/8908015078026/blue-eggs-abhi-eggs,2026-07-12T13:46:30Z
8906033422890,Suji,1kg,"Cereal grains, Cereal semolinas, Vegan",360,73,0,3.8,11,0.9,0.1,0.0075,1,b,Wheat,https://in.openfoodfacts.org/product/8906033422890/suji-1kg,2026-07-12T12:43:57Z
0074305001161,APPLE CIDER VINEGAR,BRAGG,"Sauces, Cider vinegars, Groceries",0,,0,0,0,0,0,0,2,not-applicable,"ORGANIC APPLE CIDER VINEGAR, WATER.",https://in.openfoodfacts.org/product/0074305001161/apple-cider-vinegar-bragg,2026-07-12T11:24:46Z
8906017290583,Bisleri Rockstar,Bisleri,Drinking water,,,,,,,,,1,b,Water,https://in.openfoodfacts.org/product/8906017290583/bisleri-rockstar,2026-07-12T11:20:40Z
8901044600930,Rose Sharbat,Mapro,Beverages,279,69.7,68.9,,0,0,,0.014875,4,e,"SUGAR, WATER, ROSE PETALS (2%), ACIDITY REGULATOR (CITRIC ACID), PRESERVATIVE (INS-211) CONTAINS PERMITTED SYNTHETIC FOOD COLOUR (INS-122) & ADDED FLAVOURS - NATURAL, NATURE IDENTICAL & ARTIFICIAL FLAVOURING SUBSTANCES (ROSE)",https://in.openfoodfacts.org/product/8901044600930/rose-sharbat-mapro,2026-07-12T11:18:00Z
8901012100516,Johnson's baby powder blossoms Natural plant-based,,,,,,,,,,,,unknown,,https://in.openfoodfacts.org/product/8901012100516/johnson-s-baby-powder-blossoms-natural-plant-based,2026-07-12T10:20:41Z
